Config,Depth,Input,Target,Pred,Correct,Reasoning
L2H4R8,max,84,84,,,...
L2H4R8,max,40,40,,,...
L2H4R8,max,(30 + (((61 - 32) + (38 + 68)) + 90)) - (((33 + (39 - 48)) + (0 + 43)) - (((61 + 72) + (75 - 29)) + ((36 + 32) - 89))),346,,,...
L2H4R8,max,79,79,,,...
L2H4R8,max,(19 - (((32 + 16) + (21 - 63)) + ((30 + 57) + (5 - 73)))) + ((((64 + 84) - (69 + 15)) - (38 + 64)) + (((15 + 52) - 21) - ((4 - 59) - (41 + 20)))),118,,,...
L2H4R8,max,44,44,,,...
L2H4R8,max,((50 + 16) - (((0 - 2) - (45 + 51)) + (38 - (37 - 57)))) - ((10 + ((57 + 29) - (9 - 68))) - (94 - ((71 + 48) - 89))),15,,,...
L2H4R32,depth2,(0 + 19) - 55,-36,,,...
L2H4R32,depth2,(81 + 50) + (28 - 19),140,,,...
L2H4R32,depth2,(69 + 23) - 84,8,,,...
L2H4R32,depth2,(60 - 61) - 24,-25,,,...
L2H4R32,depth2,16 - (28 + 27),-39,,,...
L2H4R32,depth2,(23 - 92) + (85 + 71),87,,,...
L2H4R32,depth2,(19 - 33) + (49 - 40),-5,,,...
L2H4R32,depth2,(11 - 83) + (27 - 89),-134,,,...
L2H4R32,depth2,(72 + 67) - (8 + 39),92,,,...
L2H4R32,depth2,(7 + 69) + (8 + 69),153,,,...
L6H16R16,max,89,89,,,...
L6H16R16,max,((((59 - 64) - (62 + 74)) + 44) + 25) - 28,-100,,,...
L6H16R16,max,70,70,,,...
L6H16R16,max,(84 - (((27 - 67) + 99) + 78)) + 12,-41,,,...
L6H16R16,max,0 + (((91 + (66 + 16)) + ((46 - 42) + 85)) + (89 - ((21 - 71) + 50))),351,,,...
L6H16R16,max,37 - ((((96 + 95) + (38 + 26)) + ((59 + 35) + (30 - 11))) - (95 + ((92 + 40) + (72 + 32)))),0,,,...
L6H16R16,max,((7 + (52 - 50)) - 77) + 21,-47,,,...
L6H16R16,max,98,98,,,...
L6H16R16,max,((((44 + 34) - (82 + 40)) - (67 + (15 + 50))) + (((80 + 86) - (81 - 21)) - ((7 + 31) + 51))) - (((29 - (80 + 5)) - 33) + (((42 - 15) + (70 + 43)) - ((33 + 79) + 19))),-79,,,...
L6H16R16,max,62,62,,,...
L6H16R32,depth1,53 - 25,28,,,...
L6H16R32,depth1,49 - 37,12,,,...
L6H16R32,depth1,12 - 1,11,,,...
L6H16R32,depth1,98 + 39,137,,,...
L6H16R32,depth1,94 - 36,58,,,...
L6H16R32,depth1,72 + 26,98,,,...
L6H16R32,depth1,20 - 72,-52,,,...
L6H16R32,depth1,2 - 11,-9,,,...
L6H16R32,depth1,84 + 40,124,,,...
L6H16R32,depth1,13 - 47,-34,,,...
L4H4R8,depth2,(66 - 15) + 86,137,,,...
L4H4R8,depth2,(1 - 78) - (2 - 67),-12,,,...
L4H4R8,depth2,(6 + 48) - (89 + 47),-82,,,...
L4H4R8,depth2,(14 - 2) - (96 + 48),-132,,,...
L4H4R8,depth2,(81 - 96) - (95 + 77),-187,,,...
L4H4R8,depth2,(66 - 86) + (51 + 31),62,,,...
L4H4R8,depth2,(78 + 2) + (61 - 97),44,,,...
L4H4R8,depth2,(4 + 58) - (95 + 79),-112,,,...
L4H4R8,depth2,(70 + 19) + (62 + 39),190,,,...
L4H4R8,depth2,(61 - 63) - (80 - 33),-49,,,...
L2H2R4,depth5,(((19 - (68 + 25)) - ((46 - 12) + (25 + 86))) + 71) - ((((57 - 43) + (73 - 18)) + ((55 - 6) + (22 + 41))) - (((97 - 17) + (97 + 53)) - ((44 + 81) + (8 - 41)))),-191,,,...
L2H2R4,depth5,((((29 - 52) - (99 + 54)) - ((7 + 10) + (24 + 94))) - (((61 + 28) - (23 - 77)) - ((50 + 63) - (68 - 76)))) + ((((53 - 3) - (16 + 21)) + 80) - (((49 + 73) - (57 - 59)) - ((58 + 27) - (88 + 12)))),-379,,,...
L2H2R4,depth5,((((36 + 47) - (94 - 71)) + (66 - (38 + 60))) - (((42 - 3) - (35 - 38)) - ((59 + 39) + (54 + 2)))) - ((((22 - 87) - (27 + 75)) + (44 + (39 + 73))) + 92),59,,,...
L2H2R4,depth5,((53 + ((19 - 52) + (46 + 68))) + (((54 + 35) + (31 - 73)) - ((61 - 82) + (52 - 63)))) - ((((25 + 3) + (30 - 6)) + ((5 + 95) - (70 - 29))) + (((94 + 85) - (36 + 21)) + (0 - (93 + 35)))),108,,,...
L2H2R4,depth5,79 - ((((18 + 85) + (97 - 16)) + (59 + (8 + 44))) - (((97 - 95) - (12 - 77)) - ((0 + 74) + 38))),-261,,,...
L2H2R4,depth5,((((52 - 72) + (21 - 34)) + ((36 + 2) + 34)) - 54) + ((((14 - 99) - (35 - 92)) - ((35 - 43) - (70 + 97))) - 33),99,,,...
L2H2R4,depth5,((((31 - 82) - (34 + 33)) + ((37 - 60) + (22 - 67))) - (((54 - 96) - 13) + ((27 - 71) - 50))) - ((((35 - 58) + (45 + 46)) + (1 + (3 - 31))) + (((31 + 37) + (66 - 85)) + ((35 - 1) + (35 - 72)))),-124,,,...
L2H2R4,depth5,((((74 - 48) - (83 + 97)) - ((48 + 49) + (53 + 48))) - ((56 + (76 - 24)) + ((87 + 79) + (59 - 2)))) + ((34 + ((17 + 72) - (31 - 48))) - 46),-589,,,...
L2H2R4,depth5,((96 + ((7 - 94) + 17)) + (75 - ((8 - 7) - (90 + 28)))) + 9,227,,,...
L2H2R4,depth5,((((67 + 73) + (52 - 38)) + ((65 - 96) + (88 - 85))) + (((75 - 13) + (56 + 66)) + ((96 - 77) + (76 + 90)))) + ((((1 + 6) - (43 + 81)) - ((60 + 7) + (11 - 83))) + (((37 + 62) - (12 - 26)) + ((77 + 4) + (16 - 93)))),500,,,...
L8H8R8,depth2,(32 - 64) - (76 - 7),-101,,,...
L8H8R8,depth2,(92 + 48) - 40,100,,,...
L8H8R8,depth2,(52 + 49) + (28 - 76),53,,,...
L8H8R8,depth2,(66 - 8) - (99 - 98),57,,,...
L8H8R8,depth2,(66 + 93) - (76 + 1),82,,,...
L8H8R8,depth2,(95 + 31) - (29 + 85),12,,,...
L8H8R8,depth2,(98 - 69) + (22 - 85),-34,,,...
L8H8R8,depth2,(16 + 6) - (13 - 89),98,,,...
L8H8R8,depth2,(33 + 27) - 51,9,,,...
L8H8R8,depth2,(96 + 17) - (36 + 42),35,,,...
L8H2R16,depth5,((((56 - 60) - (36 - 96)) + ((29 + 46) + (94 + 73))) - (((72 - 32) - (23 + 59)) + ((40 - 87) + (99 - 75)))) + 26,389,,,...
L8H2R16,depth5,((((40 + 98) + (90 + 90)) + (5 - (41 - 37))) + (((78 + 39) + (51 + 82)) + 44)) - ((80 + ((62 + 92) - 52)) + (43 - ((57 - 67) + (73 - 41)))),410,,,...
L8H2R16,depth5,((((94 - 6) - (53 + 74)) + (86 - (49 + 9))) - (7 + ((51 - 73) + (43 + 3)))) - ((((51 + 90) - (22 - 56)) - (51 - (34 - 21))) + ((9 - (11 + 57)) + (27 - (98 + 54)))),5,,,...
L8H2R16,depth5,((((19 - 92) - (13 + 82)) - 41) + (((75 - 35) + 23) - ((0 + 75) + (68 + 21)))) + ((((52 + 44) + (67 + 57)) - ((72 - 4) - (9 - 78))) - (((10 - 17) - (25 + 39)) - ((62 - 92) - (78 + 24)))),-288,,,...
L8H2R16,depth5,((((56 - 78) + (78 - 17)) + ((53 + 20) - (92 + 87))) - 58) + ((((3 - 56) - (93 - 78)) + ((94 + 82) - (36 - 22))) - (((48 + 3) - (27 + 11)) + ((35 + 76) - (82 + 67)))),-6,,,...
L8H2R16,depth5,((61 + ((4 + 23) + (71 + 63))) - (((58 - 67) - (91 - 72)) + ((25 - 99) - (71 + 24)))) + ((((0 + 82) + (57 - 5)) + 68) - (((43 - 38) - (75 + 63)) - ((97 + 24) + (85 - 4)))),956,,,...
L8H2R16,depth5,((((9 - 36) - 89) + ((54 + 69) + 68)) - (((56 + 13) - (98 + 35)) - 66)) - 41,164,,,...
L8H2R16,depth5,((((97 + 68) - (86 + 65)) + ((53 + 39) - (9 + 98))) + (((95 + 88) + (43 - 82)) - ((39 - 74) + (34 - 30)))) - ((((46 + 75) - (32 - 40)) + (42 - (89 - 10))) - 55),137,,,...
L8H2R16,depth5,(((14 - (96 - 20)) - ((13 - 9) - (87 + 86))) + (((40 + 18) + (70 - 1)) - ((79 + 20) + (7 - 62)))) - ((((85 - 31) + (59 + 64)) + 72) - (51 + ((65 + 73) - (23 - 74)))),181,,,...
L8H2R16,depth5,((((41 + 8) - (78 + 27)) - ((64 + 28) + (3 - 77))) - ((94 - (83 - 73)) - ((50 - 22) - (38 + 66)))) + ((17 + ((49 - 3) - (60 - 69))) + (((19 - 78) - (46 + 30)) + ((72 + 92) - (83 + 46)))),-262,,,...
L2H2R4,depth1,49 - 10,39,,,...
L2H2R4,depth1,48 - 38,10,,,...
L2H2R4,depth1,85 - 82,3,,,...
L2H2R4,depth1,86 + 97,183,,,...
L2H2R4,depth1,58 + 54,112,,,...
L2H2R4,depth1,26 + 89,115,,,...
L2H2R4,depth1,58 + 75,133,,,...
L2H2R4,depth1,76 + 96,172,,,...
L2H2R4,depth1,55 - 16,39,,,...
L2H2R4,depth1,42 + 96,138,,,...
L4H8R32,depth4,(((2 - 29) + (49 + 32)) + 45) - (43 + ((90 - 74) + (80 - 77))),37,,,...
L4H8R32,depth4,(((97 + 72) + 3) - ((78 - 68) - (9 - 6))) - 40,125,,,...
L4H8R32,depth4,(((52 + 41) - (95 + 35)) - ((98 - 66) - (72 - 15))) - 95,-107,,,...
L4H8R32,depth4,(((10 - 95) - (42 + 89)) + ((58 + 84) + (79 - 2))) + (((4 - 34) - (52 - 74)) + ((68 - 94) + (83 - 29))),23,,,...
L4H8R32,depth4,(((60 + 69) - (8 - 90)) + ((81 - 2) + (1 + 18))) + (((56 + 62) - (17 + 27)) - ((9 - 52) + (40 + 59))),327,,,...
L4H8R32,depth4,(((57 - 24) - (49 + 39)) - ((10 + 14) - (21 - 1))) - (((9 + 43) - (36 + 89)) - ((88 - 89) + (37 - 93))),-43,,,...
L4H8R32,depth4,(((76 - 37) - (76 - 18)) - ((1 + 81) - (5 - 60))) + (15 + ((51 + 94) + (66 + 9))),79,,,...
L4H8R32,depth4,(((67 - 96) + (79 - 21)) - (62 - (41 - 76))) + (((43 + 52) - 75) + 52),4,,,...
L4H8R32,depth4,(98 - ((68 + 9) - 89)) + (((59 - 65) + (6 - 74)) + ((17 + 69) - (36 - 10))),96,,,...
L4H8R32,depth4,(((50 - 64) + (65 + 78)) + ((76 - 96) - 27)) - ((23 + (75 - 77)) - ((82 + 0) + (54 - 38))),159,,,...
L6H2R16,depth4,(((49 + 11) + (60 + 15)) - ((27 - 15) - (60 + 44))) - (((9 + 90) - (96 + 22)) + ((22 + 71) + (98 - 59))),114,,,...
L6H2R16,depth4,(((68 - 36) - (61 - 3)) - ((49 - 15) - (43 - 58))) - (((9 - 84) + (66 - 39)) + ((9 + 19) + (92 + 32))),-179,,,...
L6H2R16,depth4,(61 + ((33 - 27) - (1 - 43))) - (((31 + 16) + (71 - 66)) + (53 - (97 + 84))),185,,,...
L6H2R16,depth4,(((62 - 35) + (17 + 49)) + 7) - (((92 + 0) + (25 - 38)) - ((39 - 55) - (36 + 49))),-80,,,...
L6H2R16,depth4,(56 - ((70 + 27) - (62 - 72))) + (((78 - 73) - (64 + 42)) + ((79 + 49) + (11 - 88))),-101,,,...
L6H2R16,depth4,(((55 - 5) - (21 + 24)) + 30) - ((83 + (53 - 87)) - (71 + (9 - 58))),8,,,...
L6H2R16,depth4,(((67 + 28) + (34 + 7)) - ((75 + 4) - (9 - 5))) - (((89 + 65) + (73 + 48)) + ((39 - 98) + (35 + 52))),-242,,,...
L6H2R16,depth4,(((37 + 35) + (30 + 68)) - ((98 + 38) + 77)) - (((35 - 8) - (94 + 91)) - (18 - (34 - 18))),117,,,...
L6H2R16,depth4,(77 + ((84 - 36) - (84 + 43))) - (((90 - 5) - (72 - 68)) + ((45 - 81) - (46 + 99))),98,,,...
L6H2R16,depth4,(((13 - 60) - (8 - 5)) - ((48 - 52) + (6 - 55))) - (((6 - 48) + (75 + 64)) + ((89 - 60) + 42)),-165,,,...
L8H2R8,depth4,(((0 + 40) + (73 - 5)) + 80) + (((47 + 91) - (78 - 47)) - ((67 + 6) + (64 + 42))),116,,,...
L8H2R8,depth4,(((71 + 76) - (96 + 40)) - ((23 - 99) + (4 + 14))) + 36,105,,,...
L8H2R8,depth4,(60 - ((35 - 64) + (72 + 82))) - (((33 + 22) + (17 + 92)) - ((31 + 70) - (36 - 34))),-130,,,...
L8H2R8,depth4,(((1 - 33) - (48 + 95)) + ((16 - 76) + (22 - 19))) - (((13 + 26) + (55 + 65)) - 97),-294,,,...
L8H2R8,depth4,62 - (((54 + 97) - (28 + 6)) + ((11 - 93) + (42 - 80))),65,,,...
L8H2R8,depth4,(((46 + 55) + 53) - ((83 + 39) - (36 + 88))) + 1,157,,,...
L8H2R8,depth4,(((26 - 43) + (83 + 91)) - (90 + (16 - 27))) + ((90 + (0 + 91)) + ((96 - 88) - (27 - 77))),317,,,...
L8H2R8,depth4,(((86 - 67) + (46 - 53)) + ((64 - 41) + (4 - 86))) + 57,10,,,...
L8H2R8,depth4,(((73 - 24) + 76) + 41) + (((95 - 73) + (21 - 13)) + ((46 - 11) + (52 - 6))),277,,,...
L8H2R8,depth4,((89 + (38 + 32)) - ((22 + 40) - (74 - 10))) + (((90 - 58) + (86 - 2)) - ((54 - 30) + (72 + 93))),88,,,...
L6H2R16,max,((((98 + 93) - 82) + 97) - 42) + 24,188,,,...
L6H2R16,max,(((60 + (68 - 52)) + 2) + 95) - 12,161,,,...
L6H2R16,max,((66 - ((72 + 73) - 90)) - 36) - ((((6 + 72) - (92 - 40)) + 49) - 22),-78,,,...
L6H2R16,max,86 + (87 - ((3 - (12 - 63)) - ((41 - 31) + (13 + 65)))),207,,,...
L6H2R16,max,10,10,,,...
L6H2R16,max,((((22 + 37) + 77) - (57 - (15 + 14))) + 64) + 7,179,,,...
L6H2R16,max,46 - 84,-38,,,...
L6H2R16,max,(21 - (30 + ((64 + 88) + (3 + 76)))) - (((43 + (16 + 67)) - (31 - 86)) - 71),-350,,,...
L6H2R16,max,(78 + 12) - 71,19,,,...
L6H2R16,max,76,76,,,...
L4H4R4,depth5,((((93 + 5) + (76 - 70)) + ((21 + 39) - (29 + 84))) + (((45 - 36) - (97 - 5)) - ((48 - 80) - (7 - 89)))) + ((((83 - 49) - 8) - 53) + (((63 - 41) - 30) + ((5 - 53) + (72 + 93)))),0,,,...
L4H4R4,depth5,((((54 + 19) - 98) + ((10 + 50) - (44 + 71))) + (((7 + 59) + (16 - 9)) - 47)) + ((((24 + 25) - (35 - 55)) + ((99 - 55) + (71 - 26))) + (((56 - 37) + (41 + 43)) - ((96 + 82) + (62 - 95)))),62,,,...
L4H4R4,depth5,((((72 + 42) + 55) + 26) - (((39 + 33) + (47 - 3)) - ((57 - 68) + (22 - 54)))) - ((((15 + 91) - (19 + 26)) - ((84 - 39) - (98 + 44))) - (((88 + 30) + (97 - 71)) + ((40 - 24) - 23))),15,,,...
L4H4R4,depth5,((((42 - 74) + (23 - 7)) - ((90 + 50) - (30 + 5))) - (((65 + 66) + (26 - 58)) - (42 + (74 + 64)))) + ((((7 + 35) + (85 - 86)) - ((57 - 41) - (21 + 56))) - (80 - ((1 + 31) + (20 - 12)))),22,,,...
L4H4R4,depth5,((((44 + 65) - (99 - 8)) + ((13 + 37) - (3 - 85))) + (((15 - 56) - 50) - ((92 + 85) - (5 + 26)))) - 18,-105,,,...
L4H4R4,depth5,((((53 - 67) - (33 - 33)) - ((21 + 95) + (70 + 64))) - (((44 + 59) - (99 + 94)) - ((20 - 84) + (58 + 22)))) - ((((40 + 0) - (68 - 60)) - 12) - (((38 - 12) - (73 + 56)) + (94 + (74 - 76)))),-189,,,...
L4H4R4,depth5,((82 + ((47 - 87) - (23 - 9))) + (((44 + 22) - 38) - ((98 - 61) + (76 + 71)))) + ((((98 + 74) + (89 - 31)) - ((70 - 34) - (67 - 81))) + (((1 + 26) + (79 + 34)) - ((58 - 76) - (60 - 34)))),236,,,...
L4H4R4,depth5,((((4 - 5) - (0 - 93)) - (56 - (22 - 88))) + (((61 + 45) + (44 - 38)) - ((13 - 69) - 97))) - (43 - (((93 - 87) + (52 + 42)) - ((14 + 46) - (51 + 17)))),300,,,...
L4H4R4,depth5,80 + ((((62 - 94) - (6 + 3)) - ((47 + 59) - (44 + 48))) + (((71 + 34) - (63 + 29)) - ((86 - 77) + (40 - 6)))),-5,,,...
L4H4R4,depth5,((((57 + 67) - (22 - 63)) - ((5 + 67) - (98 - 1))) + (((77 - 36) - (29 - 87)) - ((97 + 96) - (62 - 44)))) + ((57 - ((15 + 21) - (12 + 8))) - (((19 - 94) + (1 + 84)) - ((0 + 10) - (50 - 9)))),114,,,...
L4H2R16,depth4,(((78 + 43) - (7 + 20)) - ((75 - 74) - (2 + 30))) + (((16 - 26) - 30) + (78 + (52 - 4))),211,,,...
L4H2R16,depth4,(((57 - 7) + (76 + 3)) + ((69 - 69) + (77 + 27))) + (((71 - 83) + (32 - 27)) + 87),313,,,...
L4H2R16,depth4,(((59 + 92) + (49 - 2)) - ((81 - 91) - (95 + 87))) - 32,358,,,...
L4H2R16,depth4,(40 - ((93 + 6) + (2 + 9))) + (((3 + 83) + (65 + 9)) + 84),174,,,...
L4H2R16,depth4,(((72 - 59) + (41 + 41)) - ((54 - 97) - (22 + 51))) + (((13 - 70) - (57 + 74)) + (35 + (5 + 99))),162,,,...
L4H2R16,depth4,(((79 - 28) + (41 - 79)) - ((57 + 2) - (28 + 54))) - (((62 - 71) - (44 + 46)) + ((96 + 19) + (29 + 75))),-84,,,...
L4H2R16,depth4,(((71 + 44) + (87 + 41)) + ((82 + 97) + (35 + 7))) - (((88 - 11) - (62 + 26)) + ((66 + 24) - (76 + 19))),480,,,...
L4H2R16,depth4,((2 + (28 + 46)) + ((75 + 38) - (68 + 56))) + (((23 + 54) - (64 - 27)) - ((74 - 44) + (81 - 79))),73,,,...
L4H2R16,depth4,(((62 + 50) - (91 + 68)) - ((16 + 61) - (28 + 33))) - (((63 + 63) + (80 + 95)) - ((13 - 35) - (84 - 19))),-451,,,...
L4H2R16,depth4,((40 - (29 + 21)) - ((9 - 82) - 99)) + (((45 + 35) + (27 - 23)) + ((69 + 19) - (68 - 66))),332,,,...
L4H2R8,max,66 + ((24 + ((11 - 4) - (23 + 43))) - ((50 + 79) + ((38 + 73) + (91 + 54)))),-354,,,...
L4H2R8,max,((6 - 12) + (70 - (66 + 60))) + ((57 - ((82 - 5) + (18 + 67))) + 71),-96,,,...
L4H2R8,max,((12 + 1) + 97) + (45 + 19),174,,,...
L4H2R8,max,(90 - 6) - (5 - 62),141,,,...
L4H2R8,max,54,54,,,...
L4H2R8,max,(89 + (((35 - 96) - 50) + ((41 - 70) - (65 - 24)))) + 68,-24,,,...
L4H2R8,max,((((13 + 93) - 70) - 86) + (((98 - 51) + (10 - 89)) - 16)) - ((((4 + 18) - (86 - 74)) - 4) + 79),-183,,,...
L4H2R8,max,((((44 - 9) - (21 + 70)) + ((67 + 83) + (54 + 94))) - 84) - 19,139,,,...
L4H2R8,max,(11 + 51) + 90,152,,,...
L4H2R8,max,((((58 + 15) + 20) - ((18 + 23) + 57)) - (((30 - 1) - (22 - 67)) - ((30 - 11) + 59))) - ((((23 - 94) + 16) - ((93 + 89) - (22 - 35))) - (((86 - 85) + 52) - ((93 + 39) + 97))),73,,,...
L4H4R4,depth3,(41 - (51 - 0)) + ((98 - 15) + (17 - 85)),5,,,...
L4H4R4,depth3,((75 - 90) + (78 - 70)) + ((11 + 97) - (58 - 3)),46,,,...
L4H4R4,depth3,(31 + (47 + 20)) - ((40 + 49) - (21 + 45)),75,,,...
L4H4R4,depth3,((98 + 80) - (52 + 16)) - ((79 + 71) - (86 + 99)),145,,,...
L4H4R4,depth3,((68 + 72) - (72 + 47)) + ((11 + 14) + (55 - 72)),29,,,...
L4H4R4,depth3,((47 - 43) + (57 - 65)) - ((57 + 1) - (13 + 92)),43,,,...
L4H4R4,depth3,21 - ((85 - 51) + (12 + 3)),-28,,,...
L4H4R4,depth3,((2 - 29) - (73 + 96)) - ((39 - 96) + (33 - 50)),-122,,,...
L4H4R4,depth3,((43 + 18) + (58 + 31)) - ((47 - 75) + (41 + 26)),111,,,...
L4H4R4,depth3,((45 - 30) - (12 + 40)) - ((87 - 3) - (2 - 46)),-165,,,...
L2H2R4,depth3,((83 - 26) - (35 - 88)) + ((77 + 48) - (71 + 15)),149,,,...
L2H2R4,depth3,((86 - 40) + (75 - 13)) - ((2 - 91) + (87 - 6)),116,,,...
L2H2R4,depth3,((56 + 36) + 59) - 24,127,,,...
L2H2R4,depth3,((12 + 85) - (40 + 2)) + 97,152,,,...
L2H2R4,depth3,((84 - 5) + (70 + 18)) - ((58 - 73) + (9 + 10)),163,,,...
L2H2R4,depth3,((12 + 40) - 36) - 86,-70,,,...
L2H2R4,depth3,((0 + 14) - (41 + 50)) - (97 + (46 + 83)),-303,,,...
L2H2R4,depth3,((44 - 26) - (59 - 5)) - ((37 - 90) - (74 + 63)),154,,,...
L2H2R4,depth3,3 - ((80 - 1) - (52 - 15)),-39,,,...
L2H2R4,depth3,((42 - 18) - (68 + 54)) + (92 - (14 - 89)),69,,,...
L8H2R32,depth1,71 - 20,51,,,...
L8H2R32,depth1,67 - 44,23,,,...
L8H2R32,depth1,69 + 60,129,,,...
L8H2R32,depth1,61 - 53,8,,,...
L8H2R32,depth1,50 + 84,134,,,...
L8H2R32,depth1,84 - 86,-2,,,...
L8H2R32,depth1,90 + 4,94,,,...
L8H2R32,depth1,42 + 83,125,,,...
L8H2R32,depth1,21 - 1,20,,,...
L8H2R32,depth1,61 - 18,43,,,...
L8H4R32,depth5,((((99 - 7) - (78 - 63)) + ((36 + 50) + (48 + 0))) + (((22 - 66) - (33 + 40)) - ((65 - 18) + (34 + 74)))) + ((((4 - 82) + 50) + ((85 + 3) - (8 - 66))) - 17),40,,,...
